
,1,14:50:02,,,,,2,14:50:43,,,,,3,14:57:04,,,,,4,15:05:25,,,,,5,17:27:54,,,,
1,5,20,20×2,236,,1,5,20,20×2,236,,1,20×3,1,BULL,111,,1,14,1,14,29,,1,1×3,18,OUT,21,,
2,6,18,4,208,,2,6,18,4,208,,2,5,1,OUT,117,,2,1×3,1,9,42,,2,1×3,OUT,12×3,60,,
3,5,5,1×3,195,,3,5,5,1×3,195,,3,12,1,3,133,,3,20×3,18,20,140,,3,20,OUT,12,92,,
4,13,1,12,169,,4,13,1,12,169,,4,5,5,5×2,153,,4,18×3,5,5×3,214,,4,15,13,4,124,,
5,5×2,12×3,11,112,,5,5×2,12×3,11,112,,5,20,20,1×2,195,,5,12,10,5,241,,5,20×3,5,20×3,249,,
6,4,12,20×3,36,,6,4,12,20×3,36,,6,5,5,12,217,,6,18,20×2,5×3,314,,6,13×3,20,1,309,,
7,19,3,9,5,,7,19,3,9,5,,7,20×3,4,5,286,,7,20,5×3,OUT,349,,7,5,5×3,12×3,365,,
,,,,,,,,,,,,8,20,1,14,321,,8,BULL,BULL,13,462,,8,1,20,9,395,,
