
,1,16:44:21,,,,,2,16:44:24,,,,,3,16:53:59,,,,,4,17:51:25,,,,
1,12,11,OUT,23,,1,12,11,OUT,23,,1,19,3×2,17×3,76,,1,11,12,12,266,,
2,2,OUT,OUT,25,,2,2,OUT,OUT,25,,2,7×3,11,19,127,,2,OUT,2,BULL,214,,
3,9,4×3,OUT,46,,3,9,4×3,OUT,46,,3,14,2,12,155,,3,1,12×3,5,172,,
4,12,14,7,79,,4,12,14,7,79,,4,19,16×2,19,225,,4,5×2,20×3,5,97,,
5,12,14,OUT,105,,5,12,14,OUT,105,,5,7,9,OUT,241,,5,17,19,12,49,,
6,OUT,16,6,127,,6,OUT,16,6,127,,6,11,9,OUT,261,,6,2,OUT,5,42,,
7,14×2,11,20,186,,7,14×2,11,20,186,,7,20,3,2×3,290,,7,BULL,,,42,,
8,8×3,OUT,OUT,210,,8,8×3,OUT,OUT,210,,8,5×2,13,2×3,319,,8,15×2,OUT,9,3,,
,,,,,,,,,,,,,,,,,,9,3,,,0,,
